KASHUBIAN LEXICAL MODEL (TOP 1000 WORDS)
======================================================================
Total words: 443,303
Unique words: 84,322
Cleaned with blacklist: removed 57,219 words (11.43%)
Created: 2025-11-27 14:12:30

Rank   Word                 Count      Probability     Percentage
285    tësąclecégò          153        0.00034514      0.0345%
286    editor               152        0.00034288      0.0343%
287    feature              152        0.00034288      0.0343%
288    see                  151        0.00034062      0.0341%
289    przewodnik           149        0.00033611      0.0336%
290    users                148        0.00033386      0.0334%
291    lëstopadnika         146        0.00032935      0.0329%
292    feedback             146        0.00032935      0.0329%
293    kaszëbsczé           145        0.00032709      0.0327%
294    szkòle               145        0.00032709      0.0327%
295    ù                    144        0.00032483      0.0325%
296    how                  144        0.00032483      0.0325%
297    category             141        0.00031807      0.0318%
298    po                   140        0.00031581      0.0316%
299    zëchta               140        0.00031581      0.0316%
300    dzysô                139        0.00031356      0.0314%
301    państwa              139        0.00031356      0.0314%
302    ks                   139        0.00031356      0.0314%
303    nordowi              139        0.00031356      0.0314%
304    lin                  139        0.00031356      0.0314%
305    editors              137        0.00030904      0.0309%
306    pòlskô               136        0.00030679      0.0307%
307    navbo                136        0.00030679      0.0307%
308    blós                 135        0.00030453      0.0305%
309    jeden                135        0.00030453      0.0305%
310    dwa                  135        0.00030453      0.0305%
311    kaszubski            134        0.00030228      0.0302%
312    these                134        0.00030228      0.0302%
313    gdze                 133        0.00030002      0.0300%
314    òni                  133        0.00030002      0.0300%
315    read                 133        0.00030002      0.0300%
316    up                   133        0.00030002      0.0300%
317    one                  133        0.00030002      0.0300%
318    zwierząt             133        0.00030002      0.0300%
319    pages                132        0.00029776      0.0298%
320    make                 131        0.00029551      0.0296%
321    stëcznika            130        0.00029325      0.0293%
322    òbrôzk               130        0.00029325      0.0293%
323    dzélu                130        0.00029325      0.0293%
324    wyd                  130        0.00029325      0.0293%
325    czerwińca            129        0.00029100      0.0291%
326    stolëca              129        0.00029100      0.0291%
327    lëdze                129        0.00029100      0.0291%
328    pòzwa                129        0.00029100      0.0291%
329    bë                   128        0.00028874      0.0289%
330    czasã                128        0.00028874      0.0289%
331    przekł               128        0.00028874      0.0289%
332    miona                127        0.00028649      0.0286%
333    nôbarżi              127        0.00028649      0.0286%
334    bëł                  127        0.00028649      0.0286%
335    group                127        0.00028649      0.0286%
336    label                127        0.00028649      0.0286%
337    òsta                 126        0.00028423      0.0284%
338    łżëkwiata            126        0.00028423      0.0284%
339    życie                126        0.00028423      0.0284%
340    kaszëb               125        0.00028197      0.0282%
341    when                 125        0.00028197      0.0282%
342    rozpoznawania        125        0.00028197      0.0282%
343    wycieczce            125        0.00028197      0.0282%
344    handel               125        0.00028197      0.0282%
345    used                 124        0.00027972      0.0280%
346    ute                  124        0.00027972      0.0280%
347    utc                  123        0.00027746      0.0277%
348    razã                 123        0.00027746      0.0277%
349    kùlturë              123        0.00027746      0.0277%
350    czedës               123        0.00027746      0.0277%
351    global               123        0.00027746      0.0277%
352    se                   122        0.00027521      0.0275%
353    niedzelã             122        0.00027521      0.0275%
354    work                 122        0.00027521      0.0275%
355    some                 122        0.00027521      0.0275%
356    then                 122        0.00027521      0.0275%
357    anielsczi            121        0.00027295      0.0273%
358    support              121        0.00027295      0.0273%
359    visual               121        0.00027295      0.0273%
360    nowi                 120        0.00027070      0.0271%
361    wi                   120        0.00027070      0.0271%
362    pisôł                120        0.00027070      0.0271%
363    państwã              120        0.00027070      0.0271%
364    krakòwò              119        0.00026844      0.0268%
365    żebë                 119        0.00026844      0.0268%
366    napisôł              119        0.00026844      0.0268%
367    accounts             119        0.00026844      0.0268%
368    szlach               118        0.00026618      0.0266%
369    but                  118        0.00026618      0.0266%
370    roscënë              118        0.00026618      0.0266%
371    miemiecczi           117        0.00026393      0.0264%
372    kaszëbskù            117        0.00026393      0.0264%
373    ue                   117        0.00026393      0.0264%
374    ptôch                117        0.00026393      0.0264%
375    stalatégò            117        0.00026393      0.0264%
376    kol                  117        0.00026393      0.0264%
377    czãsto               116        0.00026167      0.0262%
378    stolëcą              116        0.00026167      0.0262%
379    dzece                116        0.00026167      0.0262%
380    which                116        0.00026167      0.0262%
381    jimieninë            115        0.00025942      0.0259%
382    czwiôrtk             115        0.00025942      0.0259%
383    tool                 115        0.00025942      0.0259%
384    wikis                115        0.00025942      0.0259%
385    kaszëbską            114        0.00025716      0.0257%
386    kòle                 114        0.00025716      0.0257%
387    lëpińca              114        0.00025716      0.0257%
388    pòłożonô             114        0.00025716      0.0257%
389    wejrowsczim          113        0.00025490      0.0255%
390    môl                  113        0.00025490      0.0255%
391    time                 112        0.00025265      0.0253%
392    pòmòrsczi            112        0.00025265      0.0253%
393    gminë                112        0.00025265      0.0253%
394    kòscele              112        0.00025265      0.0253%
395    translate            112        0.00025265      0.0253%
396    who                  112        0.00025265      0.0253%
397    wiatło               112        0.00025265      0.0253%
398    plac                 111        0.00025039      0.0250%
399    swiatowi             111        0.00025039      0.0250%
400    rujana               110        0.00024814      0.0248%
401    links                110        0.00024814      0.0248%
402    dzie                 110        0.00024814      0.0248%
403    out                  110        0.00024814      0.0248%
404    piątk                109        0.00024588      0.0246%
405    here                 109        0.00024588      0.0246%
406    changes              109        0.00024588      0.0246%
407    nen                  108        0.00024363      0.0244%
408    pòniedzôłk           108        0.00024363      0.0244%
409    cz                   108        0.00024363      0.0244%
410    test                 108        0.00024363      0.0244%
411    default              107        0.00024137      0.0241%
412    jednym               106        0.00023911      0.0239%
413    dze                  106        0.00023911      0.0239%
414    special              106        0.00023911      0.0239%
415    jãzëków              105        0.00023686      0.0237%
416    swiata               105        0.00023686      0.0237%
417    gduńska              104        0.00023460      0.0235%
418    commons              104        0.00023460      0.0235%
419    kòscoła              104        0.00023460      0.0235%
420    pôłniowi             104        0.00023460      0.0235%
421    year                 104        0.00023460      0.0235%
422    wòjnie               103        0.00023235      0.0232%
423    państwò              103        0.00023235      0.0232%
424    swiãtégò             103        0.00023235      0.0232%
425    żëcé                 103        0.00023235      0.0232%
426    strzodã              103        0.00023235      0.0232%
427    delivery             103        0.00023235      0.0232%
428    chòc                 102        0.00023009      0.0230%
429    jón                  102        0.00023009      0.0230%
430    first                102        0.00023009      0.0230%
431    wtórk                102        0.00023009      0.0230%
432    code                 102        0.00023009      0.0230%
433    into                 102        0.00023009      0.0230%
434    taczi                101        0.00022784      0.0228%
435    jinëch               101        0.00022784      0.0228%
436    sobòtã               101        0.00022784      0.0228%
437    many                 101        0.00022784      0.0228%
438    hello                101        0.00022784      0.0228%
439    pózni                100        0.00022558      0.0226%
440    part                 100        0.00022558      0.0226%
441    languages            100        0.00022558      0.0226%
442    uestions             100        0.00022558      0.0226%
443    infobo               100        0.00022558      0.0226%
444    ùczą                 99         0.00022332      0.0223%
445    templates            99         0.00022332      0.0223%
446    want                 99         0.00022332      0.0223%
447    movement             99         0.00022332      0.0223%
448    swiãti               98         0.00022107      0.0221%
449    gromicznika          98         0.00022107      0.0221%
450    parameter            98         0.00022107      0.0221%
451    terô                 97         0.00021881      0.0219%
452    cenôwa               97         0.00021881      0.0219%
453    nawetka              97         0.00021881      0.0219%
454    end                  97         0.00021881      0.0219%
455    dzys                 96         0.00021656      0.0217%
456    dla                  96         0.00021656      0.0217%
457    bëlë                 96         0.00021656      0.0217%
458    kòreji               96         0.00021656      0.0217%
459    niegò                96         0.00021656      0.0217%
460    wiedno               95         0.00021430      0.0214%
461    starnë               95         0.00021430      0.0214%
462    al                   95         0.00021430      0.0214%
463    nôrodny              95         0.00021430      0.0214%
464    krótkò               95         0.00021430      0.0214%
465    wicy                 94         0.00021204      0.0212%
466    park                 94         0.00021204      0.0212%
467    kraju                94         0.00021204      0.0212%
468    change               94         0.00021204      0.0212%
469    tedë                 93         0.00020979      0.0210%
470    know                 93         0.00020979      0.0210%
471    wiôlgô               92         0.00020753      0.0208%
472    lata                 92         0.00020753      0.0208%
473    kaszëbsczich         92         0.00020753      0.0208%
474    mòrza                92         0.00020753      0.0208%
475    pòjezerzô            92         0.00020753      0.0208%
476    kaszëbë              91         0.00020528      0.0205%
477    runita               91         0.00020528      0.0205%
478    gitara               91         0.00020528      0.0205%
479    board                91         0.00020528      0.0205%
480    able                 91         0.00020528      0.0205%
481    mobile               91         0.00020528      0.0205%
482    repùblika            90         0.00020302      0.0203%
483    jezoro               90         0.00020302      0.0203%
484    wiôldżé              89         0.00020077      0.0201%
485    discussion           89         0.00020077      0.0201%
486    mù                   88         0.00019851      0.0199%
487    jakô                 88         0.00019851      0.0199%
488    bo                   88         0.00019851      0.0199%
489    òznôczô              88         0.00019851      0.0199%
490    elections            88         0.00019851      0.0199%
491    repùbliczi           87         0.00019625      0.0196%
492    kaszëbskò            87         0.00019625      0.0196%
493    ksądz                87         0.00019625      0.0196%
494    what                 87         0.00019625      0.0196%
495    drëdżi               86         0.00019400      0.0194%
496    słowa                86         0.00019400      0.0194%
497    historia             86         0.00019400      0.0194%
498    pomorskie            86         0.00019400      0.0194%
499    articles             86         0.00019400      0.0194%
500    need                 86         0.00019400      0.0194%
501    process              86         0.00019400      0.0194%
502    datastyle            86         0.00019400      0.0194%
503    wszëtczich           85         0.00019174      0.0192%
504    wòjnë                85         0.00019174      0.0192%
505    szlachù              85         0.00019174      0.0192%
506    folk                 85         0.00019174      0.0192%
507    thank                85         0.00019174      0.0192%
508    only                 85         0.00019174      0.0192%
509    wikite               85         0.00019174      0.0192%
510    rowclass             85         0.00019174      0.0192%
511    kaszub               84         0.00018949      0.0189%
512    rôz                  84         0.00018949      0.0189%
513    parkù                84         0.00018949      0.0189%
514    kréz                 83         0.00018723      0.0187%
515    jô                   83         0.00018723      0.0187%
516    ùrodzył              83         0.00018723      0.0187%
517    get                  83         0.00018723      0.0187%
518    add                  83         0.00018723      0.0187%
519    using                83         0.00018723      0.0187%
520    kaszubsko            82         0.00018498      0.0185%
521    jerzi                82         0.00018498      0.0185%
522    swiãto               82         0.00018498      0.0185%
523    jako                 82         0.00018498      0.0185%
524    môłi                 82         0.00018498      0.0185%
525    headerstyle          82         0.00018498      0.0185%
526    labelstyle           82         0.00018498      0.0185%
527    dali                 81         0.00018272      0.0183%
528    rusczi               81         0.00018272      0.0183%
529    tuwò                 81         0.00018272      0.0183%
530    chtërnym             81         0.00018272      0.0183%
531    mòżna                81         0.00018272      0.0183%
532    wszëtczim            80         0.00018046      0.0180%
533    łac                  80         0.00018046      0.0180%
534    pòlsczégò            80         0.00018046      0.0180%
535    jãzëkã               80         0.00018046      0.0180%
536    òno                  80         0.00018046      0.0180%
537    stalata              80         0.00018046      0.0180%
538    pòtemù               80         0.00018046      0.0180%
539    create               80         0.00018046      0.0180%
540    content              79         0.00017821      0.0178%
541    wiekù                79         0.00017821      0.0178%
542    mùzeùm               79         0.00017821      0.0178%
543    tréder               79         0.00017821      0.0178%
544    warszawie            79         0.00017821      0.0178%
545    czedë                79         0.00017821      0.0178%
546    set                  79         0.00017821      0.0178%
547    newsletter           79         0.00017821      0.0178%
548    wikidata             79         0.00017821      0.0178%
549    fi                   79         0.00017821      0.0178%
550    mw                   79         0.00017821      0.0178%
551    most                 78         0.00017595      0.0176%
552    miec                 78         0.00017595      0.0176%
553    czôrnô               78         0.00017595      0.0176%
554    swòje                78         0.00017595      0.0176%
555    share                78         0.00017595      0.0176%
556    roscënów             78         0.00017595      0.0176%
557    la                   78         0.00017595      0.0176%
558    pazdzérznika         78         0.00017595      0.0176%
559    access               78         0.00017595      0.0176%
560    przede               77         0.00017370      0.0174%
561    nowô                 77         0.00017370      0.0174%
562    id                   77         0.00017370      0.0174%
563    lëdztwa              76         0.00017144      0.0171%
564    tëch                 76         0.00017144      0.0171%
565    amerikańsczi         76         0.00017144      0.0171%
566    azëji                76         0.00017144      0.0171%
567    wòjewództwò          75         0.00016918      0.0169%
568    trzë                 75         0.00016918      0.0169%
569    wsą                  75         0.00016918      0.0169%
570    człowieka            75         0.00016918      0.0169%
571    folklore             75         0.00016918      0.0169%
572    zemia                74         0.00016693      0.0167%
573    eùropejsczi          74         0.00016693      0.0167%
574    czile                74         0.00016693      0.0167%
575    całi                 74         0.00016693      0.0167%
576    wòdë                 74         0.00016693      0.0167%
577    chtërnëch            74         0.00016693      0.0167%
578    stôri                74         0.00016693      0.0167%
579    zrzeszenie           74         0.00016693      0.0167%
580    article              74         0.00016693      0.0167%
581    than                 74         0.00016693      0.0167%
582    via                  74         0.00016693      0.0167%
583    free                 73         0.00016467      0.0165%
584    smiercë              73         0.00016467      0.0165%
585    colemało             73         0.00016467      0.0165%
586    li                   73         0.00016467      0.0165%
587    lub                  73         0.00016467      0.0165%
588    mi                   73         0.00016467      0.0165%
589    members              73         0.00016467      0.0165%
590    already              73         0.00016467      0.0165%
591    research             73         0.00016467      0.0165%
592    wikipediji           72         0.00016242      0.0162%
593    pierszô              72         0.00016242      0.0162%
594    polsko               72         0.00016242      0.0162%
595    szkòłë               72         0.00016242      0.0162%
596    find                 72         0.00016242      0.0162%
597    thanks               72         0.00016242      0.0162%
598    wszëtczé             71         0.00016016      0.0160%
599    prawie               71         0.00016016      0.0160%
600    rozmajitëch          71         0.00016016      0.0160%
601    lëniô                71         0.00016016      0.0160%
602    bot                  71         0.00016016      0.0160%
603    open                 70         0.00015791      0.0158%
604    barżi                70         0.00015791      0.0158%
605    òsoblëwie            70         0.00015791      0.0158%
606    temù                 70         0.00015791      0.0158%
607    dzecy                70         0.00015791      0.0158%
608    społeczno            70         0.00015791      0.0158%
609    pod                  69         0.00015565      0.0156%
610    swòjim               69         0.00015565      0.0156%
611    teatrownica          69         0.00015565      0.0156%
612    amerikańskô          69         0.00015565      0.0156%
613    dakar                69         0.00015565      0.0156%
614    dzélã                69         0.00015565      0.0156%
615    tich                 69         0.00015565      0.0156%
616    writing              69         0.00015565      0.0156%
617    lëtra                69         0.00015565      0.0156%
618    szpańsczi            68         0.00015339      0.0153%
619    prawa                68         0.00015339      0.0153%
620    słowò                68         0.00015339      0.0153%
621    majkòwsczi           68         0.00015339      0.0153%
622    gduńsczi             68         0.00015339      0.0153%
623    francësczi           68         0.00015339      0.0153%
624    americzi             68         0.00015339      0.0153%
625    swój                 68         0.00015339      0.0153%
626    mòrze                68         0.00015339      0.0153%
627    poznań               68         0.00015339      0.0153%
628    wydawnictwo          68         0.00015339      0.0153%
629    nas                  67         0.00015114      0.0151%
630    chtërné              67         0.00015114      0.0151%
631    më                   67         0.00015114      0.0151%
632    gdini                67         0.00015114      0.0151%
633    dzãka                67         0.00015114      0.0151%
634    szkòła               67         0.00015114      0.0151%
635    geografia            67         0.00015114      0.0151%
636    westrzód             67         0.00015114      0.0151%
637    znóny                67         0.00015114      0.0151%
638    dëcha                67         0.00015114      0.0151%
639    mało                 67         0.00015114      0.0151%
640    ją                   67         0.00015114      0.0151%
641    working              67         0.00015114      0.0151%
642    bòga                 67         0.00015114      0.0151%
643    nôwikszim            66         0.00014888      0.0149%
644    wejrowie             66         0.00014888      0.0149%
645    żëją                 66         0.00014888      0.0149%
646    pùcczim              66         0.00014888      0.0149%
647    tools                66         0.00014888      0.0149%
648    everyone             66         0.00014888      0.0149%
649    people               66         0.00014888      0.0149%
650    lëczba               66         0.00014888      0.0149%
651    òficjalnô            65         0.00014663      0.0147%
652    jãzëczi              65         0.00014663      0.0147%
653    zajimô               65         0.00014663      0.0147%
654    another              65         0.00014663      0.0147%
655    wikipedias           65         0.00014663      0.0147%
656    gduńsczim            65         0.00014663      0.0147%
657    vertical             65         0.00014663      0.0147%
658    chto                 64         0.00014437      0.0144%
659    garc                 64         0.00014437      0.0144%
660    góra                 64         0.00014437      0.0144%
661    ko                   64         0.00014437      0.0144%
662    geògrafia            64         0.00014437      0.0144%
663    jedna                64         0.00014437      0.0144%
664    kòscérsczim          64         0.00014437      0.0144%
